timestamp,screen_status
2022-02-02 20:35:04.892999936,2
2022-02-02 20:36:37.041999872,3
2022-02-02 20:39:04.928999936,2
2022-02-02 20:42:14.048000000,3
2022-02-02 20:42:55.027000064,2
2022-02-02 20:46:54.844000000,3
2022-02-02 20:48:00.084999936,2
2022-02-02 20:50:34.191000064,3
2022-02-02 20:51:32.307000064,2
2022-02-02 20:54:41.284000000,3
2022-02-02 21:00:30.535000064,2
2022-02-02 21:02:57.228999936,3
2022-02-02 21:03:07.476999936,2
2022-02-02 21:13:14.808000000,3
2022-02-02 21:15:13.880000000,2
2022-02-02 21:20:48.276000000,3
2022-02-02 21:21:16.636000000,2
2022-02-02 21:22:11.705999872,3
2022-02-02 21:22:29.875000064,2
2022-02-02 21:29:13.595000064,3
2022-02-02 21:31:53.860000000,2
2022-02-02 21:31:59.851000064,3
2022-02-02 21:32:19.550000128,2
2022-02-02 21:39:19.792000000,3
2022-02-02 21:39:37.600000000,2
2022-02-02 21:45:51.512999936,3
2022-02-02 21:46:03.259000064,2
2022-02-02 21:49:17.835000064,3
2022-02-02 21:51:32.230000128,2
2022-02-02 22:12:07.716999936,3
2022-02-02 22:14:44.759000064,2
2022-02-02 22:32:27.888999936,3
2022-02-02 22:32:32.452000000,2
2022-02-03 01:05:26.604000000,3
2022-02-03 01:05:32.311000064,2
2022-02-03 02:23:00.180000000,3
2022-02-03 02:23:22.883000064,2
2022-02-03 02:31:36.604999936,3
2022-02-03 02:31:43.047000064,2
2022-02-03 02:46:18.687000064,3
2022-02-03 02:48:03.848000000,2
2022-02-03 03:26:40.593999872,3
2022-02-03 03:27:00.159000064,2
2022-02-03 04:05:23.712999936,3
2022-02-03 04:06:36.788000000,2
2022-02-03 04:09:03.864000000,3
2022-02-03 04:15:19.537999872,2
2022-02-03 04:15:23.809999872,3
2022-02-03 04:19:13.433999872,2
2022-02-03 05:49:19.582000128,3
2022-02-03 05:56:54.310000128,2
2022-02-03 13:43:37.111000064,3
2022-02-03 13:43:44.208999936,2
2022-02-03 13:51:51.272999936,3
2022-02-03 13:52:27.201999872,2
2022-02-03 14:08:56.000000000,3
2022-02-03 14:09:09.312000000,2
2022-02-03 14:18:18.268999936,3
2022-02-03 14:19:28.628000000,2
2022-02-03 17:20:29.667000064,3
2022-02-03 17:23:02.734000128,2
2022-02-03 17:28:33.663000064,3
2022-02-03 17:30:45.336999936,2
2022-02-03 18:04:26.484999936,3
2022-02-03 18:04:58.406000128,2
2022-02-03 19:20:23.252000000,3
2022-02-03 19:20:28.425999872,2
2022-02-03 19:42:43.004000000,3
2022-02-03 19:42:55.368999936,2
2022-02-03 19:52:22.649999872,3
2022-02-03 19:57:28.903000064,2
2022-02-03 20:19:57.644000000,3
2022-02-03 20:20:32.420000000,2
2022-02-03 21:48:44.276999936,3
2022-02-03 21:49:17.316000000,2
2022-02-03 21:53:43.019000064,3
2022-02-03 21:55:28.532999936,2
2022-02-03 22:01:09.479000064,3
2022-02-03 22:05:46.919000064,2
2022-02-03 22:28:00.905999872,3
2022-02-03 22:28:12.648999936,2
2022-02-04 00:29:58.096000000,3
2022-02-04 01:23:46.129999872,2
2022-02-04 02:35:04.161999872,3
2022-02-04 02:37:49.428000000,2
2022-02-04 03:00:45.751000064,3
2022-02-04 03:01:18.606000128,2
2022-02-04 03:01:33.611000064,3
2022-02-04 03:02:01.436999936,2
2022-02-04 03:04:01.649999872,3
2022-02-04 03:04:59.987000064,2
2022-02-04 03:21:31.580000000,3
2022-02-04 03:28:25.702000128,2
2022-02-04 03:38:44.336999936,3
2022-02-04 03:38:50.697999872,2
2022-02-04 03:39:00.516000000,3
2022-02-04 03:47:29.383000064,2
2022-02-04 04:42:02.432999936,3
2022-02-04 04:42:35.905999872,2
2022-02-04 04:45:06.246000128,3
2022-02-04 04:45:06.716000000,2
2022-02-04 04:45:07.144999936,3
2022-02-04 04:45:30.428999936,2
2022-02-04 05:48:27.272000000,3
2022-02-04 06:01:50.308999936,2
2022-02-04 06:03:00.935000064,3
2022-02-04 06:04:04.703000064,2
2022-02-04 06:09:39.092000000,3
2022-02-04 06:11:53.184000000,2
2022-02-04 06:38:14.344999936,3
2022-02-04 06:38:16.444999936,2
2022-02-04 06:49:35.140999936,3
2022-02-04 07:10:29.540000000,2
