_id,timestamp,device_id,device_id
3751009,1643834104893.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3751010,1643834197042.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3751011,1643834344929.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3751012,1643834534048.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3751013,1643834575027.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3751014,1643834814844.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3751015,1643834880085.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3751016,1643835034191.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3751017,1643835092307.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3751018,1643835281284.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3751019,1643835630535.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3751020,1643835777229.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3751021,1643835787477.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3751022,1643836394808.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3751023,1643836513880.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3752478,1643836848276.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3752479,1643836876636.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3752480,1643836931706.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3752481,1643836949875.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3752482,1643837353595.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3752483,1643837513860.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3752484,1643837519851.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3752485,1643837539550.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3752486,1643837959792.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3752487,1643837977600.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3752488,1643838351513.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3752489,1643838363259.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3752490,1643838557835.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3752491,1643838692230.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3752492,1643839927717.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3752493,1643840084759.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3754239,1643841147889.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3754240,1643841152452.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3758228,1643850326604.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3758229,1643850332311.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3761020,1643854980180.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3761021,1643855002883.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3761022,1643855496605.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3761023,1643855503047.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3761024,1643856378687.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3761025,1643856483848.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3763559,1643858800594.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3763560,1643858820159.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3763561,1643861123713.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3763562,1643861196788.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3763563,1643861343864.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3763564,1643861719538.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3763565,1643861723810.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3763566,1643861953434.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3767516,1643867359582.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3767517,1643867814310.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3772621,1643895817111.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3772622,1643895824209.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3772623,1643896311273.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3772624,1643896347202.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3772625,1643897336000.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3772626,1643897349312.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3772627,1643897898269.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3772628,1643897968628.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3777021,1643908829667.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3778776,1643908982734.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3778777,1643909313663.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3778778,1643909445337.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3778779,1643911466485.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3778780,1643911498406.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3780473,1643916023252.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3780474,1643916028426.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3782389,1643917363004.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3782390,1643917375369.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3782391,1643917942650.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3782392,1643918248903.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3782393,1643919597644.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3782394,1643919632420.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3785309,1643924924277.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3785310,1643924957316.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3785311,1643925223019.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3785312,1643925328533.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3785313,1643925669479.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3785314,1643925946919.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3786853,1643927280906.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3786854,1643927292649.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3791453,1643934598096.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3793224,1643937826130.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3795047,1643942104162.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3795048,1643942269428.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3795049,1643943645751.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3795050,1643943678606.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3795051,1643943693611.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3795052,1643943721437.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3795053,1643943841650.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3795054,1643943899987.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3796785,1643944891580.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3796786,1643945305702.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3796787,1643945924337.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3796788,1643945930698.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3796789,1643945940516.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3796790,1643946449383.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
